# cycle	P.putida	Synechococcus	co2_e	C80aPHA_e	nh4_e	sucr_e
693.0	0.1	0.14272990003	287.0127486	13.84	0.0	0.0035602253664
694.0	0.1	0.14305150845	287.28434535	13.86	0.0	0.0035682475008
695.0	0.1	0.14337384153	287.55587810000003	13.88	0.0	0.0035762877112
696.0	0.1	0.14369690092	287.82734669999996	13.9	0.0	0.0035843460383000003
697.0	0.1	0.14402068825	288.09875102	13.92	0.0	0.003592422523
698.0	0.1	0.14434520515	288.3700909	13.94	0.0	0.0036005172062
699.0	0.1	0.14467045328	288.64136621	13.96	0.0	0.0036086301288
700.0	0.1	0.14499643428	288.91257678	13.98	0.0	0.003616761332
701.0	0.1	0.1453231498	289.18372249	14.0	0.0	0.0036249108569000005
702.0	0.1	0.1456506015	289.45480319	14.02	0.0	0.0036330787449000003
703.0	0.1	0.14597879103	289.72581872	14.04	0.0	0.0036412650374
704.0	0.1	0.14630772006	289.99676894	14.06	0.0	0.0036494697756999997
705.0	0.1	0.14663739026	290.2676537	14.08	0.0	0.0036576930015000003
706.0	0.1	0.14696780329	290.53847286	14.1	0.0	0.0036659347564000004
707.0	0.1	0.14729896082	290.80922627	14.12	0.0	0.0036741950821
708.0	0.1	0.14763086455	291.07991378	14.14	0.0	0.0036824740206
709.0	0.1	0.14796351614	291.35053523	14.16	0.0	0.0036907716137
710.0	0.1	0.14829691729	291.62109049	14.18	0.0	0.0036990879035000003
711.0	0.1	0.14863106967	291.89157941	14.2	0.0	0.0037074229322
712.0	0.1	0.14896597499	292.16200182	14.22	0.0	0.0037157767418000004
713.0	0.1	0.14930163494	292.43235760000005	14.24	0.0	0.0037241493748
714.0	0.1	0.14963805123	292.70264657	14.26	0.0	0.0037325408736
715.0	0.1	0.14997522554	292.9728686	14.28	0.0	0.0037409512807
716.0	0.1	0.1503131596	293.24302353	14.3	0.0	0.0037493806385999998
717.0	0.1	0.15065185512	293.51311121	14.32	0.0	0.0037578289900999998
718.0	0.1	0.15099131381	293.78313149	14.34	0.0	0.0037662963780000004
719.0	0.1	0.15133153739	294.05308422	14.36	0.0	0.0037747828452
720.0	0.1	0.15167252758	294.32296924	14.38	0.0	0.0037832884346
721.0	0.1	0.15201428611	294.59278641	14.4	0.0	0.0037918131894999997
722.0	0.1	0.15235681472	294.86253557	14.42	0.0	0.0038003571528
723.0	0.1	0.15270011513	295.13221656	14.44	0.0	0.003808920368
724.0	0.1	0.15304418909	295.40182924	14.46	0.0	0.0038175028783000004
725.0	0.1	0.15338903835	295.67137344	14.48	0.0	0.0038261047274
726.0	0.1	0.15373466464	295.94084903	14.5	0.0	0.0038347259587
727.0	0.1	0.15408106971	296.21025583	14.52	0.0	0.0038433666159000002
728.0	0.1	0.15442825533	296.47959369	14.54	0.0	0.0038520267428000005
729.0	0.1	0.15477622325	296.74886247	14.56	0.0	0.0038607063833000005
730.0	0.1	0.15512497524	297.018062	14.58	0.0	0.0038694055813
731.0	0.1	0.15547451305	297.28719213	14.6	0.0	0.0038781243809
732.0	0.1	0.15582483847	297.55625269999996	14.62	0.0	0.0038868628263999997
733.0	0.1	0.15617595327	297.82524356	14.64	0.0	0.0038956209618
734.0	0.1	0.15652785922	298.09416455	14.66	0.0	0.0039043988317
735.0	0.1	0.1568805581	298.36301549999996	14.68	0.0	0.0039131964804
736.0	0.1	0.15723405171	298.63179627	14.7	0.0	0.0039220139526
737.0	0.1	0.15758834184	298.9005067	14.72	0.0	0.0039308512928
738.0	0.1	0.15794343028	299.16914662	14.74	0.0	0.0039397085460000005
739.0	0.1	0.15829931882	299.43771587	14.76	0.0	0.0039485857569
740.0	0.1	0.15865600928	299.70621431	14.78	0.0	0.0039574829705
741.0	0.1	0.15901350345	299.97464176	14.8	0.0	0.0039664002319
742.0	0.1	0.15937180316	300.24299808	14.82	0.0	0.0039753375863
743.0	0.1	0.15973091021	300.51128309	14.84	0.0	0.0039842950789
744.0	0.1	0.16009082642	300.77949664	14.86	0.0	0.0039932727551
745.0	0.1	0.16045155362	301.04763856	14.88	0.0	0.0040022706604
746.0	0.1	0.16081309363	301.31570869999996	14.9	0.0	0.0040112888404000005
747.0	0.1	0.16117544829	301.5837069	14.92	0.0	0.0040203273408
748.0	0.1	0.16153861943	301.85163298	14.94	0.0	0.0040293862072000005
749.0	0.1	0.16190260889	302.1194868	14.96	0.0	0.0040384654858
750.0	0.1	0.16226741852	302.38726818	14.98	0.0	0.0040475652223
751.0	0.1	0.16263305016	302.65497696	15.0	0.0	0.004056685463
752.0	0.1	0.16299950567	302.92261298	15.02	0.0	0.0040658262540000005
753.0	0.1	0.16336678689	303.19017608	15.04	0.0	0.004074987641599999
754.0	0.1	0.1637348957	303.45766609	15.06	0.0	0.0040841696723
755.0	0.1	0.16410383396	303.72508285	15.08	0.0	0.0040933723925
756.0	0.1	0.16447360353	303.99242619	15.1	0.0	0.004102595849
757.0	0.1	0.16484420629	304.25969594	15.12	0.0	0.0041118400883
758.0	0.1	0.16521564412	304.52689194	15.14	0.0	0.0041211051573
759.0	0.1	0.1655879189	304.79401403	15.16	0.0	0.004130391103
760.0	0.1	0.16596103251	305.06106203	15.18	0.0	0.0041396979724
761.0	0.1	0.16633498684	305.32803579	15.2	0.0	0.0041490258127
762.0	0.1	0.16670978379	305.59493512	15.22	0.0	0.004158374671
763.0	0.1	0.16708542526	305.86175988	15.24	0.0	0.0041677445949
764.0	0.1	0.16746191316	306.12850988	15.26	0.0	0.0041771356316
765.0	0.1	0.16783924937	306.39518496	15.28	0.0	0.0041865478289
766.0	0.1	0.16821743583	306.66178495	15.3	0.0	0.0041959812343
767.0	0.1	0.16859647444	306.92830968	15.32	0.0	0.0042054358957
768.0	0.1	0.16897636713	307.19475898	15.34	0.0	0.004214911861
769.0	0.1	0.16935711581	307.46113268	15.36	0.0	0.0042244091782
770.0	0.1	0.16973872243	307.72743062	15.38	0.0	0.0042339278953
771.0	0.1	0.1701211889	307.99365261	15.4	0.0	0.0042434680606
772.0	0.1	0.17050451717	308.25979849	15.42	0.0	0.0042530297225
773.0	0.1	0.17088870919	308.52586809	15.44	0.0	0.0042626129293
774.0	0.1	0.17127376689	308.79186124	15.46	0.0	0.0042722177297
775.0	0.1	0.17165969222	309.05777776	15.48	0.0	0.0042818441722
776.0	0.1	0.17204648715	309.32361748	15.5	0.0	0.0042914923056
777.0	0.1	0.17243415364	309.58938023	15.52	0.0	0.0043011621789
778.0	0.1	0.17282269363	309.85506583	15.54	0.0	0.0043108538409
779.0	0.1	0.17321210912	310.12067412	15.56	0.0	0.0043205673408
