# cycle	R.palustris	Synechococcus	co2_e	h2_e	n2_e	sucr_e
11.0	0.10630315588	0.23292549917	99.499765755	0.025476414593000003	27.974523585	0.031082155222999997
12.0	0.106903729	0.23319329174	99.45380960700001	0.027903841442	27.972096159	0.033432050632
13.0	0.10750769513	0.2334613922	99.407802406	0.030344982344999997	27.969655018	0.035764825738
14.0	0.10811507345	0.23372980089	99.361744102	0.032799914783	27.967200085	0.03808034887
15.0	0.10872588323	0.23399851817	99.31563464799999	0.035268716673	27.964731283000003	0.040378487574
16.0	0.10934014385	0.23426754438	99.269473995	0.03775146637	27.962248534	0.042659108609
17.0	0.10995787482	0.2345368799	99.223262095	0.040248242675999996	27.959751757	0.044922077939
18.0	0.11057909574	0.23480652507	99.176998897	0.042759124836	27.957240875	0.047167260731
19.0	0.11120382632	0.23507648025	99.130684355	0.045284192540999996	27.954715807	0.04939452135
20.0	0.1118320864	0.23534674579	99.084318419	0.047823525936000005	27.952176474	0.051603723354
21.0	0.11246389591	0.23561732205	99.037901041	0.050377205615999995	27.949622794	0.053794729491
22.0	0.11309927491	0.2358882094	98.991432171	0.052945312633	27.947054686999998	0.055967401689999995
23.0	0.11373824357	0.23615940818	98.944911762	0.055527928494	27.944472071999996	0.058121601063
24.0	0.11438082216	0.23643091876	98.898339766	0.058125135171	27.941874865	0.060257187895
25.0	0.11502703108	0.23670274149	98.851716132	0.060737015095	27.939262985	0.06237402164
26.0	0.11567689083	0.23697487673	98.80504081299999	0.06336365116499999	27.936636349	0.06447196092
27.0	0.11633042205	0.23724732484	98.75831376	0.066005126747	27.933994873000003	0.066550863515
28.0	0.11698764548	0.23752008619	98.711534925	0.06866152568	27.931338474	0.068610586362
29.0	0.11764858198	0.23779316113	98.66470425899999	0.071332932274	27.928667068000003	0.070650985549
30.0	0.11831325252	0.23806655002	98.617821713	0.074019431318	27.925980569	0.072671916309
31.0	0.1189816782	0.23834025322	98.570887239	0.07672110807799999	27.923278892	0.074673233018
32.0	0.11965388023	0.23861427109	98.52390078799999	0.07943804830199999	27.920561951999996	0.07665478918600001
33.0	0.12032987996	0.23888860401	98.476862311	0.082170338224	27.917829662	0.07861643745500001
34.0	0.12100969883	0.23916325232	98.429771761	0.084918064563	27.915081935	0.080558029596
35.0	0.12169335843	0.23943821639	98.38262908899999	0.08768131452899999	27.912318685	0.082479416499
36.0	0.12238088044	0.23971349659	98.335434245	0.090460175826	27.909539824	0.084380448169
37.0	0.1230722867	0.23998909327	98.28818718299999	0.09325473665100001	27.906745263	0.086260973727
38.0	0.12376759915	0.2402650068	98.24088785200001	0.0960650857	27.903934914	0.088120841395
39.0	0.12446683985	0.24054123755	98.193536205	0.09889131217199999	27.901108688	0.0899598985
40.0	0.125170031	0.24081778588	98.14613219299999	0.10173350577	27.898266494	0.09177799146500001
41.0	0.12587719491	0.24109465216	98.098675767	0.1045917567	27.895408243000002	0.093574965801
42.0	0.12658835404	0.24137183675	98.05116688	0.10746615567	27.892533844000003	0.095350666107
43.0	0.12730353096	0.24164934001	98.00360548200001	0.11035679392999999	27.889643206	0.097104936063
44.0	0.12802274835	0.24192716232	97.955991525	0.11326376322000001	27.886736236999997	0.09883761842199999
45.0	0.12874602906	0.24220530404	97.908324961	0.11618715579000002	27.883812844	0.10054855501
46.0	0.12947339603	0.24248376553	97.860605742	0.11912706444	27.880872936	0.10223758672000001
47.0	0.13020487235	0.24276254717	97.81283381799999	0.12208358248	27.877916418	0.10390455349
48.0	0.13094048124	0.24304164932	97.76500914200001	0.12505680374000003	27.874943196	0.0070401138679
49.0	0.13168024604	0.24332107236	97.717131665	0.12804682259000003	27.871953176999998	0.008662466829299999
50.0	0.13242419024	0.24360081664	97.669201339	0.13105373393	27.868946266	0.010262269006
51.0	0.13317233745	0.24388088254	97.621218115	0.13407763319	27.865922367	0.011839356529
52.0	0.13392471141	0.24416127044	97.573181946	0.13711861635	27.862881384	0.013393564564
53.0	0.134681336	0.24444198069	97.525092782	0.14017677994	27.85982322	0.014924727302000002
54.0	0.13544223524	0.24472301368	97.476950575	0.14325222099999999	27.856747779000003	0.016432677956
55.0	0.13620743327	0.24500436976	97.428755278	0.14634503715999997	27.853654963	0.017917248754
56.0	0.13697695439	0.24528604932	97.380506841	0.14945532658	27.850544673	0.019378270934
57.0	0.13775082301	0.24556805272	97.33220521700001	0.15258318797	27.847416812	0.020815574739
58.0	0.13852906371	0.24585038034	97.283850358	0.15572872060999998	27.844271279	0.02222898941
59.0	0.13931170117	0.24613303255	97.235442214	0.15889202433	27.841107976	0.023618343182000002
60.0	0.14009876024	0.24641600972	97.18698073799999	0.16207319953	27.837926799999998	0.024983463276999997
61.0	0.1408902659	0.24669931223	97.138465882	0.16527234719	27.834727653	0.026324175897
62.0	0.14168624327	0.24698294045	97.089897598	0.16848956884	27.831510430999998	0.027640306221
63.0	0.14248671762	0.24726689476	97.041275837	0.17172496658	27.828275033	0.028931678399
64.0	0.14329171435	0.24755117552	96.99260055100001	0.17497864312	27.825021356999997	0.030198115543
65.0	0.144101259	0.24783578312	96.943871692	0.17825070171000001	27.821749298	0.031439439723
66.0	0.14491537729	0.24812071793	96.895089212	0.18154124621	27.818458754	0.032655471963999996
67.0	0.14573409504	0.24840598033	96.84625306299999	0.18485038105999999	27.815149619	0.033846032234
68.0	0.14655743823	0.24869157069	96.79736319700001	0.18817821129	27.811821789	0.035010939442
69.0	0.14738543301	0.2489774894	96.74841956600001	0.19152484251	27.808475156999997	0.036150011433
70.0	0.14821810565	0.24926373682	96.699422122	0.19489038095	27.805109619	0.037263064977
71.0	0.14905548258	0.24955031334	96.650370816	0.19827493342	27.801725067	0.038349915769
72.0	0.14989759038	0.24983721933	96.60126560200001	0.20167860734999998	27.798321393000002	0.039410378418
73.0	0.15074445577	0.25012445517	96.55210643	0.20510151077	27.794898489	0.040444266444
74.0	0.15159610563	0.25041202125	96.502893253	0.20854375231	27.791456248000003	0.041451392268
75.0	0.152452567	0.25069991794	96.453626024	0.21200544123	27.787994559	0.04243156721
76.0	0.15331386705	0.25098814563	96.40430469399999	0.2154866874	27.784513313	0.043384601482999996
77.0	0.15418003313	0.25127670469	96.354929215	0.21898760130999997	27.781012399	0.044310304179
78.0	0.15505109272	0.2515655955	96.305499539	0.22250829408000003	27.777491706	0.045208483274999996
